,region,SMT,VCI,TCI,VHI,week,year,SMN
0,Вінницька,292.68,13.75,73.72,43.74,35,1981,0.255
1,Вінницька,292.31,19.82,63.72,41.77,36,1981,0.255
2,Вінницька,291.88,30.21,51.66,40.93,37,1981,0.258
3,Вінницька,291.08,39.91,42.64,41.28,38,1981,0.259
4,Вінницька,289.75,47.88,37.6,42.74,39,1981,0.256
5,Вінницька,287.77,54.64,37.0,45.82,40,1981,0.249
6,Вінницька,284.88,60.87,43.25,52.06,41,1981,0.236
7,Вінницька,281.24,65.71,56.15,60.93,42,1981,0.219
8,Вінницька,277.53,65.17,64.36,64.76,43,1981,0.194
9,Вінницька,273.3,58.33,66.2,62.27,44,1981,0.161
10,Вінницька,269.05,45.64,65.89,55.77,45,1981,0.123
11,Вінницька,265.99,40.66,63.96,52.31,46,1981,0.099
12,Вінницька,264.01,41.53,61.45,51.49,47,1981,0.086
13,Вінницька,263.07,43.06,58.22,50.64,48,1981,0.076
14,Вінницька,262.06,41.78,56.29,49.04,49,1981,0.068
15,Вінницька,261.04,45.38,53.52,49.45,50,1981,0.064
16,Вінницька,259.85,45.92,50.4,48.16,51,1981,0.059
17,Вінницька,259.28,44.0,47.22,45.61,52,1981,0.054
18,Вінницька,260.31,45.01,39.46,42.23,01,1982,0.053
19,Вінницька,262.29,46.83,31.75,39.29,02,1982,0.054
20,Вінницька,263.82,48.13,27.24,37.68,03,1982,0.055
21,Вінницька,265.33,46.09,23.91,35.0,04,1982,0.053
22,Вінницька,265.66,41.46,26.65,34.06,05,1982,0.050
23,Вінницька,266.55,36.56,29.46,33.01,06,1982,0.048
24,Вінницька,267.84,32.17,31.14,31.65,07,1982,0.048
25,Вінницька,269.3,30.3,32.5,31.4,08,1982,0.050
26,Вінницька,270.75,28.23,35.22,31.73,09,1982,0.052
27,Вінницька,272.73,25.25,37.63,31.44,10,1982,0.056
28,Вінницька,275.46,26.81,34.79,30.8,11,1982,0.069
29,Вінницька,278.05,27.87,35.91,31.89,12,1982,0.085
30,Вінницька,279.89,26.45,40.3,33.37,13,1982,0.096
31,Вінницька,281.55,22.93,45.47,34.2,14,1982,0.109
32,Вінницька,282.57,16.15,59.42,37.78,15,1982,0.120
33,Вінницька,284.04,13.92,73.7,43.81,16,1982,0.145
34,Вінницька,286.05,15.91,83.78,49.85,17,1982,0.180
35,Вінницька,288.73,25.98,83.95,54.97,18,1982,0.236
36,Вінницька,291.42,34.53,77.2,55.86,19,1982,0.292
37,Вінницька,293.07,38.39,70.79,54.59,20,1982,0.336
38,Вінницька,293.62,38.62,71.8,55.21,21,1982,0.366
39,Вінницька,293.55,34.9,75.39,55.14,22,1982,0.383
40,Вінницька,293.47,29.29,77.99,53.64,23,1982,0.391
41,Вінницька,293.51,27.5,80.68,54.09,24,1982,0.395
42,Вінницька,293.26,27.46,86.21,56.84,25,1982,0.396
43,Вінницька,293.16,27.71,89.14,58.43,26,1982,0.395
44,Вінницька,293.5,29.53,88.81,59.17,27,1982,0.394
45,Вінницька,293.83,34.04,88.18,61.11,28,1982,0.392
46,Вінницька,294.17,39.85,87.0,63.42,29,1982,0.393
47,Вінницька,294.43,43.47,85.68,64.58,30,1982,0.388
48,Вінницька,294.83,44.62,81.04,62.83,31,1982,0.383
49,Вінницька,295.3,46.78,73.25,60.01,32,1982,0.378
50,Вінницька,295.43,50.98,66.04,58.51,33,1982,0.374
51,Вінницька,295.3,54.79,59.39,57.09,34,1982,0.368
52,Вінницька,294.95,60.47,50.47,55.47,35,1982,0.362
53,Вінницька,294.4,65.8,40.42,53.11,36,1982,0.352
54,Вінницька,293.49,67.37,32.84,50.1,37,1982,0.332
55,Вінницька,292.14,68.18,30.2,49.19,38,1982,0.313
56,Вінницька,290.29,64.53,31.4,47.97,39,1982,0.287
57,Вінницька,287.91,54.93,35.92,45.43,40,1982,0.250
58,Вінницька,285.34,44.69,37.53,41.11,41,1982,0.211
59,Вінницька,282.92,36.32,36.38,36.35,42,1982,0.174
60,Вінницька,280.78,35.06,34.47,34.76,43,1982,0.147
61,Вінницька,279.06,35.39,22.51,28.95,44,1982,0.126
62,Вінницька,277.36,32.35,16.01,24.18,45,1982,0.105
63,Вінницька,275.31,32.21,15.45,23.83,46,1982,0.088
64,Вінницька,272.39,29.41,21.78,25.6,47,1982,0.072
65,Вінницька,269.21,28.24,31.16,29.7,48,1982,0.061
66,Вінницька,266.27,25.02,38.86,31.94,49,1982,0.052
67,Вінницька,263.47,22.98,43.6,33.29,50,1982,0.044
68,Вінницька,261.27,28.58,44.64,36.61,51,1982,0.044
